ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Contrôleur financier, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:101174742}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3]}}}",7706106762
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Contrôleur financier, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:101728226, radiusInKms=40.2335}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3, urn:li:workplaceType:2]}}}",7706106754
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=stage en comptabilité, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:101174742}]}}, facets={}}",1731356427
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Comptable, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:101174742}]}}, facets={timePostedRanges={countOnlyValues=[{com.linkedin.common.TimeSpan={duration=1, unit=DAY}}, {com.linkedin.common.TimeSpan={duration=1, unit=WEEK}}, {com.linkedin.common.TimeSpan={duration=30, unit=DAY}}, {com.linkedin.common.TimeRange={}}]}, workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3]}}}",1731249427
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Stagiaire, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:101174742}]}}, facets={timePostedRanges={countOnlyValues=[{com.linkedin.common.TimeSpan={duration=1, unit=DAY}}, {com.linkedin.common.TimeSpan={duration=1, unit=WEEK}}, {com.linkedin.common.TimeSpan={duration=30, unit=DAY}}, {com.linkedin.common.TimeRange={}}]}, workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3]}}}",1731249419
